job_title,occupation_group,occupation,occupation_group_index,occupation_index
Engineer (ไฟฟ้า & โยธา),Engineering,Electrical Engineer,50,190
แดนเซอร์,Performer/Artist,Dancer,105,152
Lawyer,Lawyer,Lawyer,82,322
นักวิทยาศาสตร์,Scientist,Scientist,133,503
"หัวหน้าแผนกพิมพ์, ตัด",Printing Technician,Printing Technician,115,436
ผู้ช่วยผู้อำนวยการโรงเรียน,Teacher,School Principal,140,501
Test engineer,Engineering,Testing Engineer,50,554
Clinical Coordinator,Clinical Coordinator,Clinical Coordinator,28,110
ช่างเทคนิค,Technician,Technician,141,550
ศัลยแพทย์ตกแต่ง,Physician/Doctor,Plastic Surgeon,110,427
งานผู้จัดพิมพ์,Publisher,Publisher,124,463
Application Engineer,Engineering,Computer and Systems Engineer,50,129
Mold & Die (Forge) Manager,Engineering,DIE Designer,50,151
ตัดต่อ คอมพิวเตอร์กราฟิก ช่างภาพ,Photographer & Videographer,Photographer,108,416
พนักงานขับรถและรับส่งเอกสาร,Driver,Messenger,44,368
TESTING & ANALYSIS SUPERVISOR<br>(1 POSITION),Engineering,Testing Engineer,50,554
IT PROJECTS EXECUTIVE   (CONTRACT 6 MONTHS),IT and Computer,Project Coordinator - IT,74,455
ด่วน ผู้อำนวยการสื่อสาร,Advertising and PR,Communication Director,5,122
Aircraft License Engineer,Engineering,Flight Engineer,50,234
IT Security Officer (บริษัทในเครือของธนาคาร ซีไอเอ็มบี ไทย จำกัด (มหาชน),IT and Computer,IT Security,74,289
ช่างเจียร์ไร้ศูนย์ ช่างเจียร์centerless,Jewelry Technician,Jewelry Technician,78,312
Senior Marketing Support / Marketing Support,Marketing,Marketing Coordinator,88,341
ผู้อำนวยการ,Top Level Executive,Director,142,169
3D Visualizer<br>(2 อัตรา),Design Drafter,3D Visualizer,40,0
Media Planner / Media Buyer,Advertising and PR,Media Buyer,5,354
student support,Teacher,Teaching Support Staff,140,547
ช่างไฟฟ้า,Electrician,Electrician,48,191
Molecular Biologist,Biologist,Biologist,19,65
Permanent Secretary,Permanent Secretary,Permanent Secretary,106,409
reservation & ticketing,Customer Service,Ticketing Officer,37,558
หมดดมยาพาร์ทไทม์,Physician/Doctor,Anesthetist,110,27
นักออกแบบท่าเต้น,Performer/Artist,Choreographer,105,104
Legal Advisor/Consultant,Lawyer,Legal Counsel,82,326
Advertising Executive (พนักงานขายโฆษณา) (Junior /Senior/Supervisor/Manager/Director),Advertising and PR,Advertising Executive,5,10
QC manager,Quality Assurance,Quality Control,126,468
Senior Consultant,Top Level Executive,Senior Consultant,142,509
Roofing Technician,Construction/Building Technician,Roofing,31,491
Customer Service Mitarbeiter (German language) - 1 Position,Customer Service,Customer Service,37,148
Native English,Teacher,Teacher,140,545
วิศวกรสิ่งแวดล้อม,Engineering,Environmental Engineer,50,201
Project Manager – (Building and Hotel renovation),Architecture/Interior,Architect Project Manager,12,34
เจ้าของธุรกิจ,Top Level Executive,Business Owner,142,78
Employee operating system information management ,IT and Computer,Management Information System(MIS),74,336
CRM (Strategy & Operations),Customer Service,CRM Management Manager,37,81
internal audit​,Accounting,Auditor,1,47
Six Sigma Black Belt,Productivity Improvement,Productivity Improvement,120,450
E-com Executive <br>Urgently required,Marketing,Online Marketing Officer,88,385
Marketing and Public Relations Executive ,Advertising and PR,PR Executive,5,400
เจ้าหน้าที่จัดการความรู้และพัฒนาบุคลกร,Trainer,Training Officer,144,564
<font color=red><b>Urgent!!!</font color></b> Senior System Consultant,IT and Computer,IT Consultant,74,287
พนักงานคิวซี,Quality Assurance,Quality Control,126,468
ผู้ช่วยฝ่ายปฎิบัติการ,Production,Production Manager,118,447
Admin for MEM- Part room (Temporary staff),Administration,Administrator,2,8
เจ้าหน้าที่ฝ่ายการตลาด แผนกอาหาร,Marketing,Marketing Officer,88,344
Shop Expediter (Production & Manufacturing) - Contract,Production,Production Control,118,446
Traffic ,Creative,Traffic Manager,35,561
ผู้จัดการสาขา,Marketing,Branch Manager,88,67
วิศวกรเครื่องกลฝึกงาน,Engineering,Mechanical Engineer,50,353
Warehouse and Logistics Officer,Warehouse Management,Warehouse and Logistics Officer,151,587
Software Architecture / Sr.Java Developer,IT and Computer,Programmer / Software Developer,74,453
Design and Engineering Manager for Outside Plant and GSM,Engineering,Engineer,50,198
เจ้าหน้าที่ออกอากาศ (MCR),Broadcasting,Broadcast Technician,20,68
พนักงานสนับสนุน,Administration,Administrator,2,8
ช่างซ่อม,IT and Computer,Computer/Telecommunication Technician,74,130
Krungsri - PR Specialist,Advertising and PR,PR Specialist,5,402
พนักงานขนถ่ายสัมภาระ,Porter,Porter,114,430
Talent Management and Development Manager,HR,Training and Development Manager,69,565
Welding Inspector (Pressure Vessel),Construction/Building Technician,Ironwork/Metal Fabrication,31,309
guest servic office,Customer Service,Guest Service Agent,37,267
คนสวน,Housekeeping,Gardener,72,253
<font color=red><b>Urgently Required!!!</b></font ><br>Chemist<br>นักวิทยาศาสตร์เคมี (สาขาสมุทรสาคร และสาขาฉะเชิงเทรา),Chemist,Chemist,27,98
Physician (Sub Board Chest),Physician/Doctor,Sub Board Chest/Critical care,110,531
Game Content Creator,Writer and Editor,Writer,152,595
Tattoo Artist/ออกแบบลายสัก,Fashion Designer,Tattoo Designer,54,540
Publisher Specialist,Publisher,Publisher,124,463
หัวหน้าทีมขนย้าย,Technician,Technician,141,550
นักวิเคราะห์และนักวิจัยนโยบายเศรษฐกิจ,Economist,Economic Policy Researcher and Analyst,46,184
Lead Game mathematician,Multimedia,Game Mathematician,96,252
เจ้าหน้าที่งานพิพิธภัณฑ์,Museum Curator,Museum Curator,97,373
CEO  บริษัท  ขนส่งทางน้ำ,Top Level Executive,Chief Executive Officer,142,100
Design Engineer Manager<br>(1 Position),Engineering,Design Engineer,50,166
Marketing assistant,Marketing,Marketing Officer,88,344
ผู้จัดการฝ่ายบริหารงานก่อสร้าง,Engineering,Construction Manager,50,132
admin/พนักงาน live,Administration,Administrator,2,8
Electronic Engineer (Repair) ช่างซ่อมสาขาไฟฟ้า/อิเล็คทรอนิกส์  (1 ตำแหน่ง)<br>ประจำสาขานครสวรรค์,Electronic Technician,Electronic Technician,49,192
Operation Planning,Production,Production Planner,118,448
ศัลยแพทย์กระดูกและข้อ (Orthopedic Surgeon),Physician/Doctor,Surgeon,110,533
ดราฟท์แมน,Architecture/Interior,Draftsman,12,178
เจ้าหน้าที่วิจัย (ภ.วิสัญญีวิทยา),Researcher,Researcher,129,487
"นักแสดง,นางรำ",Performer/Artist,Performer/Artist,105,408
Communications Manager,Advertising and PR,Communication Manager,5,123
Community Affair Officer (Rayong),Administration,Community Officer,2,125
หัวหน้าแผนกพัฒนาทรัพยากรบุคคลและองค์กรอาวุโส,HR,Training and Development Manager,69,565
Lead Ecological Scientist,Ecological Scientist,Ecological Scientist,45,183
พนักงานประกอบแว่น ประจำหอแว่น มาร์เก็ตวิลเลจสุวรรณภูมิ,Optician,Optician,104,391
เจ้าหน้าที่ธุรการ *ศูนย์บริการรถยนต์*,Administration,Administrator,2,8
Service Center Coordinator (1 Person) <br>(Based in GEMOPOLIS: Kingkaew Road),Customer Service,Customer Service,37,148
การตลาด ฝ่ายพัฒนาออกแบบผลิตภัณฑ์ ,Research and Development,Research and Development Executive,128,485
website administrator,IT and Computer,Web Administrator,74,589
Supervisorn - CSR / Corporate Communications Department,Corporate Social Responsibility,Corporate Social Responsibility,34,139
ผู้จัดการปฎิบัติการ,Production,Production Manager,118,447
Bellman (พนักงานขนสัมภาระ),Porter,Porter,114,430
Client Service a,Customer Service,Customer Service,37,148
ลูกจ้างโครงการ,othe,other,153,596
นักวิทยาศาสตร์ด้านดินและพืช,Agricultural And Natural Resources,Agronomist,6,22
Senior Coordinator (Operation & Media Relation),Sales,Sales,132,495
Advertising Manager,Advertising and PR,Advertising Manager,5,11
Pilot (Helicopter Licence ),Pilot,Pilot,112,423
Automation System Engineer,Engineering,Automation Engineer,50,48
mechanic assistant,Technician,Maintenance Technician,141,334
นักนันทนาการบำบัดอาวุโส,Medical Therapy/Rehab Services,Recreation Therapist,94,476
IT Manager,IT and Computer,IT Manager,74,288
PR / Customer Service,Customer Service,Customer Service,37,148
PATIENT SERVICES OFFICER(Cardiac Laboratory),Cardiovascular Technician,Cardiovascular Technician,25,87
พิธีกรรายการแข่งทำอาหาร,Reporter,Radio and Televison Announcer,127,472
